"filename", "language", "JSON", "JavaScript", "PHP", "Markdown", "CSS", "XML", "comment", "blank", "total"
"/Users/Emmanuel/Sites/ngm/resources/views/components/auth-session-status.blade.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/Emmanuel/Sites/ngm/resources/views/components/danger-button.blade.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/Emmanuel/Sites/ngm/resources/views/components/dropdown-link.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/Emmanuel/Sites/ngm/resources/views/components/dropdown.blade.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 5, 44
"/Users/Emmanuel/Sites/ngm/resources/views/components/input-error.blade.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 2, 10
"/Users/Emmanuel/Sites/ngm/resources/views/components/input-label.blade.php", "PHP", 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Users/Emmanuel/Sites/ngm/resources/views/components/modal.blade.php", "PHP", 0, 0, 72, 0, 0, 0, 2, 4, 78
"/Users/Emmanuel/Sites/ngm/resources/views/components/nav-link.blade.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 3, 12
"/Users/Emmanuel/Sites/ngm/resources/views/components/ngm-logo.blade.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 1, 13
"/Users/Emmanuel/Sites/ngm/resources/views/components/primary-button.blade.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/Emmanuel/Sites/ngm/resources/views/components/responsive-nav-link.blade.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 3, 12
"/Users/Emmanuel/Sites/ngm/resources/views/components/secondary-button.blade.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/Emmanuel/Sites/ngm/resources/views/components/text-input.blade.php", "PHP", 0, 0, 2, 0, 0, 0, 0, 2, 4
"/Users/Emmanuel/Sites/ngm/resources/views/contact.blade.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 5, 26
"/Users/Emmanuel/Sites/ngm/resources/views/dashboard.blade.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 2, 18
"/Users/Emmanuel/Sites/ngm/resources/views/frontend/about_page.blade.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 3, 24
"/Users/Emmanuel/Sites/ngm/resources/views/frontend/accidents.blade.php", "PHP", 0, 0, 98, 0, 0, 0, 0, 6, 104
"/Users/Emmanuel/Sites/ngm/resources/views/frontend/blog.blade.php", "PHP", 0, 0, 4, 0, 0, 0, 0, 3, 7
"/Users/Emmanuel/Sites/ngm/resources/views/frontend/blog_details.blade.php", "PHP", 0, 0, 4, 0, 0, 0, 0, 3, 7
"/Users/Emmanuel/Sites/ngm/resources/views/frontend/body/footer.blade.php", "PHP", 0, 0, 91, 0, 0, 0, 0, 1, 92
"/Users/Emmanuel/Sites/ngm/resources/views/frontend/body/head.blade.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 10, 35
"/Users/Emmanuel/Sites/ngm/resources/views/frontend/body/header.blade.php", "PHP", 0, 0, 131, 0, 0, 0, 0, 2, 133
"/Users/Emmanuel/Sites/ngm/resources/views/frontend/body/header_shop.blade.php", "PHP", 0, 0, 148, 0, 0, 0, 0, 4, 152
"/Users/Emmanuel/Sites/ngm/resources/views/frontend/body/newsletter.blade.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 32
